op,size,cpu_time_2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
PushRandom,16384.0,1680290.0,p99,0.164136,1686560.0
PushRandom,32768.0,4469950.0,mean,0.0102081,4601450.0
PushRandom,32768.0,4457080.0,median,16.2078,4540070.0
PushRandom,32768.0,116459.0,stddev,16.3483,130441.0
PushRandom,32768.0,0.0260538,cv,16.4608,0.0283477
PushRandom,32768.0,4639290.0,p90,16.3604,4816700.0
PushRandom,32768.0,4643860.0,p95,16.676,4847260.0
PushRandom,32768.0,4647520.0,p99,18.0039,4871710.0
PushRandom,65536.0,12826600.0,mean,17.2965,13404500.0
PushRandom,65536.0,12724400.0,median,16.6995,13324000.0
PushRandom,65536.0,294170.0,stddev,16.74,441292.0
PushRandom,65536.0,0.0229344,cv,17.3804,0.0329212
PushRandom,65536.0,13216200.0,p90,17.3544,13686900.0
PushRandom,65536.0,13334600.0,p95,17.5318,14125100.0
PushRandom,65536.0,13429300.0,p99,17.2981,14475600.0
PushRandom,131072.0,39927900.0,mean,17.1341,41104500.0
PushRandom,131072.0,39699200.0,median,17.2973,40588900.0
PushRandom,131072.0,699293.0,stddev,0.49775,1561150.0
PushRandom,131072.0,0.0175139,cv,0.0290503,0.03798
PushRandom,131072.0,40733400.0,p90,17.579,43191700.0
PushRandom,131072.0,40841500.0,p95,17.7915,43978700.0
PushRandom,131072.0,40928000.0,p99,17.9614,44608400.0
PushRandom,262144.0,145588000.0,mean,3671.45,137823000.0
PushRandom,262144.0,144381000.0,median,3829.2,135870000.0
PushRandom,262144.0,6185730.0,stddev,3685.68,4929360.0
PushRandom,262144.0,0.0424878,cv,3651.78,0.0357659
PushRandom,262144.0,152680000.0,p90,3562.73,140457000.0
PushRandom,262144.0,154770000.0,p95,3562.66,145818000.0
PushRandom,262144.0,156442000.0,p99,3537.85,150107000.0
PushRandom,524288.0,512879000.0,mean,3522.48,483110000.0
PushRandom,524288.0,505041000.0,median,3533.72,480314000.0
PushRandom,524288.0,30364400.0,stddev,3515.37,13063700.0
PushRandom,524288.0,0.0592038,cv,3607.29,0.0270409
PushRandom,524288.0,557525000.0,p90,3562.7,485370000.0
PushRandom,524288.0,562523000.0,p95,100.74,502423000.0
PushRandom,524288.0,566520000.0,p99,0.0279268,516066000.0
