op,size,cpu_time_2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
,,,,417540.0,
,,,,416983.0,
,,,,422140.0,
,,,,419730.0,
,,,,405582.0,
,,,,399586.0,
,,,,406976.0,
,,,,410372.0,
,,,,401080.0,
,,,,410238.0,
,,,,411023.0,
,,,,410305.0,
,,,,7846.37,
,,,,0.0190899,
,,,,419971.0,
,,,,421056.0,
,,,,421923.0,
,,,,806074.0,
,,,,808858.0,
,,,,905440.0,
,,,,871774.0,
,,,,813907.0,
,,,,794457.0,
,,,,789917.0,
,,,,791770.0,
,,,,835884.0,
,,,,799606.0,
,,,,821769.0,
,,,,807466.0,
,,,,38481.0,
,,,,0.0468271,
,,,,875141.0,
,,,,890291.0,
,,,,902410.0,
,,,,1565580.0,
,,,,1597540.0,
,,,,1620640.0,
,,,,1558330.0,
,,,,1564450.0,
,,,,1545440.0,
,,,,1539580.0,
,,,,1555420.0,
,,,,1535640.0,
,,,,1536110.0,
,,,,1561870.0,
,,,,1556870.0,
,,,,27727.2,
,,,,0.0177525,
,,,,1599850.0,
,,,,1610250.0,
,,,,1618560.0,
,,,,3086010.0,
,,,,3158940.0,
,,,,3131270.0,
,,,,3038530.0,
,,,,3038340.0,
,,,,3075880.0,
,,,,3027120.0,
,,,,3025430.0,
,,,,3053680.0,
,,,,3011720.0,
,,,,3064690.0,
,,,,3046100.0,
,,,,48480.1,
,,,,0.0158189,
,,,,3134040.0,
,,,,3146490.0,
,,,,3156450.0,
,,,,5584.79,
,,,,5767.82,
,,,,5976.13,
,,,,5639.42,
,,,,5597.52,
,,,,5497.05,
,,,,5572.97,
,,,,5577.5,
,,,,5550.61,
,,,,5598.34,
,,,,5636.22,
,,,,5591.15,
,,,,138.481,
,,,,0.0245699,
,,,,5788.66,
,,,,5882.39,
,,,,5957.39,
,,,,15253.3,
,,,,15617.1,
,,,,16567.8,
,,,,15329.6,
,,,,15303.2,
,,,,15308.1,
,,,,15390.0,
,,,,15587.0,
,,,,15528.6,
,,,,15262.1,
,,,,15514.7,
,,,,15359.8,
,,,,393.588,
,,,,0.0253688,
,,,,15712.1,
,,,,16139.9,
,,,,16482.2,
,,,,50803.3,
,,,,60267.1,
,,,,57716.4,
,,,,55976.9,
,,,,55903.4,
,,,,57247.6,
,,,,56702.7,
,,,,57137.0,
,,,,57880.9,
,,,,55530.3,
,,,,56516.6,
,,,,56919.9,
,,,,2417.62,
,,,,0.0427771,
,,,,58119.6,
,,,,59193.4,
,,,,60052.4,
,,,,156904.0,
,,,,162714.0,
,,,,171810.0,
,,,,157864.0,
,,,,146359.0,
,,,,154866.0,
,,,,148426.0,
,,,,137969.0,
,,,,146359.0,
,,,,141751.0,
,,,,152502.0,
,,,,151646.0,
,,,,10272.1,
,,,,0.0673571,
,,,,163623.0,
,,,,167717.0,
,,,,170991.0,
,,,,407409.0,
,,,,425291.0,
,,,,440779.0,
,,,,413015.0,
,,,,407627.0,
,,,,409574.0,
,,,,409879.0,
,,,,413144.0,
,,,,408313.0,
,,,,393771.0,
,,,,412880.0,
,,,,409726.0,
,,,,12454.1,
,,,,0.0301641,
,,,,426839.0,
,,,,433809.0,
,,,,439385.0,
,,,,1110720.0,
,,,,1116250.0,
,,,,1217300.0,
,,,,1128560.0,
,,,,1114290.0,
,,,,1108600.0,
,,,,1116090.0,
,,,,1119770.0,
,,,,1111410.0,
,,,,1118660.0,
,,,,1126160.0,
,,,,1116170.0,
,,,,32512.8,
,,,,0.0288704,
,,,,1137440.0,
,,,,1177370.0,
,,,,1209310.0,
,,,,3146280.0,
,,,,3222640.0,
,,,,3361490.0,
,,,,3128120.0,
,,,,3121470.0,
,,,,3126330.0,
,,,,3126630.0,
,,,,3141590.0,
,,,,3129640.0,
,,,,3116400.0,
,,,,3162060.0,
,,,,3128880.0,
,,,,76431.7,
,,,,0.0241715,
,,,,3236520.0,
,,,,3299010.0,
,,,,3348990.0,
,,,,8842210.0,
,,,,8833100.0,
,,,,9532210.0,
,,,,8971760.0,
,,,,8900020.0,
,,,,8883010.0,
,,,,8849880.0,
,,,,8866000.0,
,,,,8894340.0,
,,,,8798230.0,
,,,,8937080.0,
,,,,8874500.0,
,,,,214281.0,
,,,,0.0239767,
,,,,9027810.0,
,,,,9280010.0,
,,,,9481770.0,
,,,,25911000.0,
,,,,26664700.0,
,,,,27755200.0,
,,,,25992600.0,
,,,,26150500.0,
,,,,26294000.0,
,,,,26360700.0,
,,,,26346400.0,
,,,,26279900.0,
,,,,26166500.0,
,,,,26392200.0,
,,,,26286900.0,
,,,,522605.0,
,,,,0.0198015,
,,,,26773700.0,
,,,,27264500.0,
,,,,27657100.0,
,,,,92420500.0,
,,,,92789300.0,
,,,,96626900.0,
,,,,93369200.0,
,,,,91286700.0,
,,,,91462700.0,
,,,,91490100.0,
,,,,91205800.0,
,,,,91317000.0,
,,,,90362400.0,
,,,,92233100.0,
,,,,91476400.0,
,,,,1775650.0,
,,,,0.0192517,
,,,,93694900.0,
,,,,95160900.0,
,,,,96333700.0,
,,,,360038000.0,
,,,,371122000.0,
,,,,388138000.0,
,,,,345987000.0,
,,,,361188000.0,
,,,,355089000.0,
,,,,351667000.0,
,,,,355151000.0,
,,,,354322000.0,
,,,,353695000.0,
,,,,359640000.0,
,,,,355120000.0,
,,,,12023100.0,
,,,,0.0334309,
,,,,372824000.0,
,,,,380481000.0,
,,,,386606000.0,
,,,,1438190000.0,
,,,,1448220000.0,
,,,,1214260000.0,
,,,,1218590000.0,
,,,,1209780000.0,
,,,,1226680000.0,
,,,,1210530000.0,
,,,,1208110000.0,
,,,,1128500000.0,
,,,,1135650000.0,
,,,,1243850000.0,
,,,,1212400000.0,
,,,,110506000.0,
,,,,0.0888421,
,,,,1439190000.0,
,,,,1443700000.0,
,,,,1447320000.0,
,,,,3945200000.0,
,,,,3807990000.0,
,,,,4342750000.0,
,,,,4156510000.0,
,,,,4092690000.0,
,,,,4404390000.0,
,,,,4187000000.0,
,,,,3865560000.0,
,,,,3990900000.0,
,,,,4337780000.0,
,,,,4113080000.0,
,,,,4124600000.0,
,,,,209052000.0,
,,,,0.0508261,
,,,,4348920000.0,
,,,,4376650000.0,
,,,,4398840000.0,
,,,,8772.8,
,,,,8867.28,
,,,,8871.23,
,,,,8884.97,
,,,,8792.31,
,,,,8889.2,
,,,,8982.8,
,,,,8887.88,
,,,,9084.36,
,,,,8795.88,
,,,,8882.87,
,,,,8878.1,
,,,,93.6408,
,,,,0.0105417,
,,,,8992.96,
,,,,9038.66,
,,,,9075.22,
,,,,26359.7,
,,,,26642.2,
,,,,26584.8,
,,,,26172.2,
,,,,25423.7,
,,,,26566.7,
,,,,26597.8,
,,,,27011.2,
,,,,26559.5,
,,,,27069.1,
,,,,26498.7,
,,,,26575.8,
,,,,461.367,
,,,,0.0174109,
,,,,27017.0,
,,,,27043.1,
,,,,27063.9,
,,,,76612.6,
,,,,77523.5,
,,,,74378.2,
,,,,75661.0,
,,,,75097.3,
,,,,77302.4,
,,,,81054.9,
,,,,76156.7,
,,,,75574.1,
,,,,74481.3,
,,,,76384.2,
,,,,75908.9,
,,,,1959.06,
,,,,0.0256474,
,,,,77876.7,
,,,,79465.8,
,,,,80737.1,
,,,,240027.0,
,,,,237862.0,
,,,,219950.0,
,,,,212924.0,
,,,,213662.0,
,,,,213606.0,
,,,,213867.0,
,,,,216229.0,
,,,,214371.0,
,,,,212648.0,
,,,,219515.0,
,,,,214119.0,
,,,,10469.5,
,,,,0.0476941,
,,,,238079.0,
,,,,239053.0,
,,,,239833.0,
,,,,640567.0,
,,,,648756.0,
,,,,625947.0,
,,,,598484.0,
,,,,597278.0,
,,,,591992.0,
,,,,599217.0,
,,,,592342.0,
,,,,597980.0,
,,,,597785.0,
,,,,609035.0,
,,,,598232.0,
,,,,21139.5,
,,,,0.0347098,
,,,,641386.0,
,,,,645071.0,
,,,,648019.0,
,,,,1816350.0,
,,,,1769700.0,
,,,,1711780.0,
,,,,1676570.0,
,,,,1663040.0,
,,,,1689810.0,
,,,,1655520.0,
,,,,1680210.0,
,,,,1694990.0,
,,,,1740200.0,
,,,,1709820.0,
,,,,1692400.0,
,,,,51207.3,
,,,,0.029949,
,,,,1774370.0,
,,,,1795360.0,
,,,,1812150.0,
,,,,6086890.0,
,,,,6009310.0,
,,,,6041470.0,
,,,,5616760.0,
,,,,5733090.0,
,,,,5833400.0,
,,,,5636760.0,
,,,,5706160.0,
,,,,5700620.0,
,,,,5704110.0,
,,,,5806860.0,
,,,,5719620.0,
,,,,175641.0,
,,,,0.0302472,
,,,,6046010.0,
,,,,6066450.0,
,,,,6082800.0,
,,,,21257100.0,
,,,,18759300.0,
,,,,18333900.0,
,,,,18467700.0,
,,,,18383900.0,
,,,,18332600.0,
,,,,18091200.0,
,,,,18321400.0,
,,,,18320300.0,
,,,,18548700.0,
,,,,18681600.0,
,,,,18358900.0,
,,,,921519.0,
,,,,0.0493276,
,,,,19009100.0,
,,,,20133100.0,
,,,,21032300.0,
,,,,59235400.0,
,,,,59460600.0,
,,,,59396600.0,
,,,,59490200.0,
,,,,59700100.0,
,,,,59475400.0,
,,,,59166900.0,
,,,,59980500.0,
,,,,59490800.0,
,,,,59217800.0,
,,,,59461400.0,
,,,,59468000.0,
,,,,242595.0,
,,,,0.00407988,
,,,,59728100.0,
,,,,59854300.0,
,,,,59955300.0,
,,,,197140000.0,
,,,,196698000.0,
,,,,197534000.0,
,,,,197159000.0,
,,,,197238000.0,
,,,,197071000.0,
,,,,197645000.0,
,,,,194987000.0,
,,,,196336000.0,
,,,,196521000.0,
,,,,196833000.0,
,,,,197106000.0,
,,,,770574.0,
,,,,0.00391486,
,,,,197545000.0,
,,,,197595000.0,
,,,,197635000.0,
,,,,648011000.0,
,,,,657937000.0,
,,,,656575000.0,
,,,,651818000.0,
,,,,661469000.0,
,,,,649236000.0,
,,,,655181000.0,
,,,,666291000.0,
,,,,652656000.0,
,,,,635036000.0,
,,,,653421000.0,
,,,,653919000.0,
,,,,8510120.0,
,,,,0.0130239,
,,,,661951000.0,
,,,,664121000.0,
,,,,665857000.0,
,,,,2485080000.0,
,,,,2451210000.0,
,,,,2560290000.0,
,,,,2475810000.0,
,,,,2536680000.0,
,,,,2766530000.0,
,,,,2799850000.0,
,,,,2846300000.0,
,,,,2758020000.0,
,,,,2850320000.0,
,,,,2653010000.0,
,,,,2659150000.0,
,,,,164727000.0,
,,,,0.0620908,
,,,,2846700000.0,
,,,,2848510000.0,
,,,,2849960000.0,
,,,,11728200000.0,
,,,,9788980000.0,
,,,,9659390000.0,
,,,,10919900000.0,
,,,,13686000000.0,
,,,,9970050000.0,
,,,,9764590000.0,
,,,,9674250000.0,
,,,,12627200000.0,
,,,,10709400000.0,
,,,,10852800000.0,
,,,,10339700000.0,
,,,,1409310000.0,
,,,,0.129857,
,,,,12733000000.0,
,,,,13209500000.0,
,,,,13590700000.0,
,,,,1024.15,
,,,,1019.09,
,,,,1015.05,
,,,,1021.95,
,,,,1019.66,
,,,,1019.98,
,,,,1019.66,
,,,,3.4095,
,,,,0.00334271,
,,,,1023.27,
,,,,1023.71,
,,,,1024.06,
