op,size,cpu_time,cpu_time_2removedInsertRecursion,cpu_time_3ss
Construct,256.0,8.61865,8.77168,29.6245
Construct,1024.0,26.8061,26.47,91.8203
Construct,4096.0,27.1256,26.9946,82.5362
Construct,16384.0,17.3255,17.326,61.1147
Construct,65536.0,16.2668,16.609,59.4087
Construct,262144.0,16.2897,16.271,59.2984
Construct,1048576.0,16.4823,16.2155,59.3796
PushRandom,256.0,7541.48,9058.46,21382.2
PushRandom,512.0,18361.2,23726.1,72359.4
PushRandom,1024.0,40712.4,64020.4,197595.0
PushRandom,2048.0,121676.0,197143.0,504613.0
PushRandom,4096.0,411114.0,604844.0,1289590.0
PushRandom,8192.0,1023050.0,1607090.0,3049410.0
PushRandom,16384.0,2407090.0,4100740.0,7532790.0
PushRandom,32768.0,5464670.0,10219000.0,17706800.0
PushRandom,65536.0,13202300.0,26290200.0,43529100.0
PushRandom,131072.0,30113900.0,64737000.0,104674000.0
PushRandom,262144.0,72251700.0,161674000.0,254148000.0
PushRandom,524288.0,179478000.0,417419000.0,625782000.0
PushRandom,1048576.0,425383000.0,1047170000.0,1545250000.0
PushSortedAsc,256.0,5668.52,9037.4,13478.2
PushSortedAsc,512.0,11418.3,23537.6,34944.2
PushSortedAsc,1024.0,25647.6,62364.0,92755.3
PushSortedAsc,2048.0,67771.1,197566.0,227208.0
PushSortedAsc,4096.0,176618.0,602769.0,533534.0
PushSortedAsc,8192.0,409230.0,1583460.0,1228350.0
PushSortedAsc,16384.0,953594.0,4109330.0,2869260.0
PushSortedAsc,32768.0,2047080.0,10369300.0,6698930.0
PushSortedAsc,65536.0,4378240.0,25756700.0,15137100.0
PushSortedAsc,131072.0,9461640.0,63569300.0,34881200.0
PushSortedAsc,262144.0,20789000.0,162368000.0,80659900.0
PushSortedAsc,524288.0,46747900.0,407611000.0,184679000.0
PushSortedAsc,1048576.0,105648000.0,1035760000.0,424069000.0
PushSortedDesc,256.0,11907.9,9027.25,40169.3
PushSortedDesc,512.0,29344.5,25817.7,129864.0
PushSortedDesc,1024.0,78693.4,71135.0,356671.0
PushSortedDesc,2048.0,220851.0,207536.0,940610.0
PushSortedDesc,4096.0,696600.0,595735.0,2472260.0
PushSortedDesc,8192.0,1901330.0,1570460.0,6529710.0
PushSortedDesc,16384.0,5050210.0,4126820.0,17135400.0
PushSortedDesc,32768.0,12327400.0,10130000.0,43808200.0
PushSortedDesc,65536.0,31326900.0,25190000.0,113000000.0
PushSortedDesc,131072.0,78499400.0,63400400.0,288275000.0
PushSortedDesc,262144.0,197423000.0,159050000.0,742210000.0
PushSortedDesc,524288.0,500508000.0,412007000.0,1904830000.0
PushSortedDesc,1048576.0,1233020000.0,1053420000.0,4904830000.0
Extract,256.0,7705.21,6760.56,32794.6
Extract,512.0,19071.8,18281.3,100213.0
Extract,1024.0,50080.1,48388.9,278808.0
Extract,2048.0,197134.0,132731.0,762781.0
Extract,4096.0,527964.0,358690.0,2075020.0
Extract,8192.0,1417050.0,972049.0,5651070.0
Extract,16384.0,3706460.0,2611710.0,15313300.0
Extract,32768.0,10037900.0,7126510.0,40956500.0
Extract,65536.0,27281300.0,18779400.0,107803000.0
Extract,131072.0,72592300.0,50936100.0,281630000.0
Extract,262144.0,191861000.0,131426000.0,730038000.0
Extract,524288.0,508851000.0,343515000.0,1879160000.0
Extract,1048576.0,1308400000.0,910004000.0,4810590000.0
Search,256.0,1805.32,1741.66,600787.0
Search,512.0,3453.47,3193.55,2758240.0
Search,1024.0,8560.82,12661.5,15445300.0
Search,2048.0,23209.1,28792.9,74274500.0
Search,4096.0,59726.3,64801.2,314228000.0
Search,8192.0,125622.0,178312.0,1298160000.0
Search,16384.0,238211.0,199851.0,4689240000.0
Search,32768.0,581740.0,800959.0,23459600000.0
Search,65536.0,1060440.0,1569770.0,85833000000.0
Search,131072.0,2066030.0,4067040.0,398854000000.0
Search,262144.0,3977170.0,7657440.0,
Search,524288.0,8372820.0,17361600.0,
Search,1048576.0,12019300.0,42527500.0,
