op,size,cpu_time,cpu_time_2removedInsertRecursion,cpu_time_3ss
Construct,256.0,8.58269,8.50313,29.5116
Construct,1024.0,27.0302,26.8647,91.6891
Construct,4096.0,28.1351,26.4397,82.2876
Construct,16384.0,17.0859,17.1666,60.6611
Construct,65536.0,16.3436,15.9207,59.182
Construct,262144.0,16.132,16.0532,59.1409
Construct,1048576.0,16.1549,15.9797,59.1865
PushRandom,256.0,7220.24,8924.21,18965.4
PushRandom,512.0,16986.2,24148.6,68656.9
PushRandom,1024.0,39873.5,66114.4,208265.0
PushRandom,2048.0,100049.0,203394.0,540158.0
PushRandom,4096.0,453231.0,634767.0,1389740.0
PushRandom,8192.0,1097580.0,1718390.0,3385650.0
PushRandom,16384.0,2714880.0,4623740.0,8521660.0
PushRandom,32768.0,6535270.0,11580700.0,20778900.0
PushRandom,65536.0,15490300.0,30239400.0,51637600.0
PushRandom,131072.0,37785300.0,78866500.0,128857000.0
PushRandom,262144.0,91558400.0,202315000.0,321939000.0
PushRandom,524288.0,227574000.0,539100000.0,806740000.0
PushRandom,1048576.0,565464000.0,1375800000.0,2029810000.0
PushSortedAsc,256.0,4776.73,9104.89,12119.4
PushSortedAsc,512.0,10198.1,24746.3,32570.5
PushSortedAsc,1024.0,22129.7,67219.5,87913.4
PushSortedAsc,2048.0,49186.0,204002.0,214532.0
PushSortedAsc,4096.0,122979.0,647677.0,519483.0
PushSortedAsc,8192.0,369650.0,1688960.0,1247600.0
PushSortedAsc,16384.0,863145.0,4420860.0,2860570.0
PushSortedAsc,32768.0,1881720.0,11349600.0,6594520.0
PushSortedAsc,65536.0,4269400.0,29311600.0,15377500.0
PushSortedAsc,131072.0,9691220.0,76198000.0,36145400.0
PushSortedAsc,262144.0,21563600.0,195415000.0,82334300.0
PushSortedAsc,524288.0,49600400.0,517950000.0,189453000.0
PushSortedAsc,1048576.0,112697000.0,1370290000.0,440491000.0
PushSortedDesc,256.0,11390.5,8877.23,36835.4
PushSortedDesc,512.0,29441.4,25784.0,128048.0
PushSortedDesc,1024.0,78170.2,65083.6,367296.0
PushSortedDesc,2048.0,229428.0,201593.0,1005110.0
PushSortedDesc,4096.0,764926.0,623990.0,2753420.0
PushSortedDesc,8192.0,2054810.0,1674610.0,7247710.0
PushSortedDesc,16384.0,5302030.0,4425670.0,19317700.0
PushSortedDesc,32768.0,13884800.0,11344900.0,50633600.0
PushSortedDesc,65536.0,36269800.0,29463400.0,133545000.0
PushSortedDesc,131072.0,100580000.0,77307500.0,353880000.0
PushSortedDesc,262144.0,250177000.0,199305000.0,924190000.0
PushSortedDesc,524288.0,634950000.0,516003000.0,2425590000.0
PushSortedDesc,1048576.0,1765530000.0,1339060000.0,6392810000.0
Extract,256.0,7100.29,7103.62,27315.4
Extract,512.0,17940.7,18635.2,87749.3
Extract,1024.0,47669.8,51026.1,251025.0
Extract,2048.0,193820.0,141487.0,694300.0
Extract,4096.0,544730.0,391690.0,1915830.0
Extract,8192.0,1471320.0,1083780.0,5475380.0
Extract,16384.0,4023130.0,2967150.0,15390700.0
Extract,32768.0,11074700.0,8515550.0,42749200.0
Extract,65536.0,31405900.0,23045200.0,117264000.0
Extract,131072.0,86190500.0,62205300.0,318910000.0
Extract,262144.0,241642000.0,171811000.0,846158000.0
Extract,524288.0,659546000.0,476823000.0,2235990000.0
Extract,1048576.0,1696640000.0,1284230000.0,5875850000.0
Search,256.0,1576.58,2340.95,564031.0
Search,512.0,3516.61,4653.24,2795900.0
Search,1024.0,7922.8,10052.4,13807700.0
Search,2048.0,19638.3,24776.8,63068100.0
Search,4096.0,44795.8,38130.5,230094000.0
Search,8192.0,115036.0,104788.0,1120350000.0
Search,16384.0,205013.0,190435.0,4059910000.0
Search,32768.0,424779.0,906017.0,18096200000.0
Search,65536.0,906581.0,2044980.0,76132400000.0
Search,131072.0,1764900.0,2369740.0,331170000000.0
Search,262144.0,3628330.0,8059560.0,
Search,524288.0,6335400.0,15228700.0,
Search,1048576.0,8502250.0,40227700.0,
