op,size,cpu_time,cpu_time_2removedInsertRecursion
Construct,256.0,8.2398,8.2398
Construct,1024.0,24.9793,24.9793
Construct,4096.0,14.9997,14.9997
Construct,16384.0,16.6471,16.6471
Construct,65536.0,15.6428,15.6428
Construct,262144.0,15.593,15.593
Construct,1048576.0,15.5609,15.5609
PushRandom,256.0,5631.82,5631.82
PushRandom,1024.0,66559.5,66559.5
PushRandom,4096.0,947816.0,947816.0
PushRandom,16384.0,15057000.0,15057000.0
PushRandom,65536.0,248035000.0,248035000.0
PushRandom,262144.0,4004570000.0,4004570000.0
PushRandom,1048576.0,63825500000.0,63825500000.0
PushSortedAsc,256.0,1339.54,1339.54
PushSortedAsc,1024.0,3865.12,3865.12
PushSortedAsc,4096.0,13845.4,13845.4
PushSortedAsc,16384.0,54513.0,54513.0
PushSortedAsc,65536.0,218015.0,218015.0
PushSortedAsc,262144.0,948409.0,948409.0
PushSortedAsc,1048576.0,5816870.0,5816870.0
PushSortedDesc,256.0,9351.29,9351.29
PushSortedDesc,512.0,32525.6,32525.6
PushSortedDesc,1024.0,123233.0,123233.0
PushSortedDesc,2048.0,481511.0,481511.0
PushSortedDesc,4096.0,1921300.0,1921300.0
PushSortedDesc,8192.0,7482670.0,7482670.0
PushSortedDesc,16384.0,30962100.0,30962100.0
PushSortedDesc,32768.0,125332000.0,125332000.0
PushSortedDesc,65536.0,503344000.0,503344000.0
PushSortedDesc,131072.0,2011700000.0,2011700000.0
PushSortedDesc,262144.0,8071510000.0,8071510000.0
PushSortedDesc,524288.0,32243000000.0,32243000000.0
PushSortedDesc,1048576.0,128315000000.0,128315000000.0
Extract,256.0,12753.6,12753.6
Extract,1024.0,178067.0,178067.0
Extract,4096.0,2727400.0,2727400.0
Extract,16384.0,44743200.0,44743200.0
Extract,65536.0,719513000.0,719513000.0
Extract,262144.0,11463500000.0,11463500000.0
Extract,1048576.0,181800000000.0,181800000000.0
Search,256.0,37.9705,37.9705
Search,1024.0,120.767,120.767
Search,4096.0,467.322,467.322
Search,16384.0,1801.83,1801.83
Search,65536.0,7179.62,7179.62
Search,262144.0,28814.3,28814.3
Search,1048576.0,117916.0,117916.0
