op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp
PushRandom,524288.0,340017000.0,p99,326431000.0
PushRandom,1048576.0,901842000.0,mean,840045000.0
PushRandom,1048576.0,902704000.0,median,834394000.0
PushRandom,1048576.0,4715600.0,stddev,20142100.0
PushRandom,1048576.0,0.00522886,cv,0.0239774
PushRandom,1048576.0,906805000.0,p90,863088000.0
PushRandom,1048576.0,907340000.0,p95,875390000.0
PushRandom,1048576.0,907768000.0,p99,885232000.0
PushSortedAsc,256.0,4240.14,mean,3788.93
PushSortedAsc,256.0,4230.54,median,3769.39
PushSortedAsc,256.0,44.1397,stddev,68.7669
PushSortedAsc,256.0,0.01041,cv,0.0181494
PushSortedAsc,256.0,4289.24,p90,3850.06
PushSortedAsc,256.0,4307.21,p95,3895.6
PushSortedAsc,256.0,4321.58,p99,3932.02
PushSortedAsc,512.0,8694.15,mean,7599.25
PushSortedAsc,512.0,8659.21,median,7572.23
PushSortedAsc,512.0,127.233,stddev,78.666
PushSortedAsc,512.0,0.0146343,cv,0.0103518
PushSortedAsc,512.0,8820.13,p90,7681.7
PushSortedAsc,512.0,8905.7,p95,7728.35
PushSortedAsc,512.0,8974.16,p99,7765.68
PushSortedAsc,1024.0,18463.7,mean,16642.2
PushSortedAsc,1024.0,18541.4,median,16617.4
PushSortedAsc,1024.0,345.802,stddev,274.33
PushSortedAsc,1024.0,0.0187287,cv,0.016484
PushSortedAsc,1024.0,18800.1,p90,17000.7
PushSortedAsc,1024.0,18825.5,p95,17054.9
PushSortedAsc,1024.0,18845.9,p99,17098.2
PushSortedAsc,2048.0,40244.7,mean,37377.3
PushSortedAsc,2048.0,40132.9,median,37348.4
PushSortedAsc,2048.0,1015.47,stddev,746.202
PushSortedAsc,2048.0,0.0252325,cv,0.019964
PushSortedAsc,2048.0,41476.3,p90,38164.6
PushSortedAsc,2048.0,41650.8,p95,38541.7
PushSortedAsc,2048.0,41790.4,p99,38843.4
PushSortedAsc,4096.0,94873.2,mean,84932.6
PushSortedAsc,4096.0,95673.3,median,82439.4
PushSortedAsc,4096.0,3281.48,stddev,5268.99
PushSortedAsc,4096.0,0.034588,cv,0.0620373
PushSortedAsc,4096.0,98504.9,p90,91797.8
PushSortedAsc,4096.0,98602.5,p95,92309.9
PushSortedAsc,4096.0,98680.6,p99,92719.5
PushSortedAsc,8192.0,211310.0,mean,183168.0
PushSortedAsc,8192.0,201412.0,median,182914.0
PushSortedAsc,8192.0,15383.9,stddev,2303.16
PushSortedAsc,8192.0,0.0728026,cv,0.012574
PushSortedAsc,8192.0,233345.0,p90,185849.0
