op,size,cpu_time1withoutsqrOpt,stat,cpu_time_3withOpt,cpu_time_4nodebug
Remove,8192.0,2269900.0,mean,2804940.0,2639570.0
Remove,8192.0,2266310.0,median,2802720.0,2653640.0
Remove,8192.0,13237.9,stddev,23499.3,41555.7
Remove,8192.0,0.00583192,cv,0.00837785,0.0157434
Remove,8192.0,2283830.0,p90,2828700.0,2673070.0
Remove,8192.0,2287340.0,p95,2833120.0,2677060.0
Remove,8192.0,2290150.0,p99,2836660.0,2680240.0
Remove,16384.0,7751000.0,mean,8784350.0,8289220.0
Remove,16384.0,7748900.0,median,8773350.0,8291930.0
Remove,16384.0,48649.3,stddev,37870.9,29749.8
Remove,16384.0,0.00627652,cv,0.00431118,0.00358898
Remove,16384.0,7798860.0,p90,8823770.0,8318840.0
Remove,16384.0,7812580.0,p95,8830370.0,8320740.0
Remove,16384.0,7823560.0,p99,8835660.0,8322270.0
Remove,32768.0,27339100.0,mean,28684000.0,27235200.0
Remove,32768.0,27277700.0,median,28693300.0,27224300.0
Remove,32768.0,195548.0,stddev,121106.0,93870.0
Remove,32768.0,0.00715267,cv,0.00422207,0.00344664
Remove,32768.0,27549200.0,p90,28797900.0,27323200.0
Remove,32768.0,27562400.0,p95,28831400.0,27338900.0
Remove,32768.0,27573100.0,p99,28858300.0,27351600.0
Remove,65536.0,92985700.0,mean,90578200.0,85762200.0
Remove,65536.0,92904700.0,median,90424800.0,85674800.0
Remove,65536.0,400021.0,stddev,1327310.0,387257.0
Remove,65536.0,0.00430197,cv,0.0146537,0.00451547
Remove,65536.0,93381100.0,p90,91854300.0,86156700.0
Remove,65536.0,93395600.0,p95,92197700.0,86186200.0
Remove,65536.0,93407100.0,p99,92472300.0,86209900.0
Remove,131072.0,332476000.0,mean,300936000.0,279468000.0
Remove,131072.0,330397000.0,median,302417000.0,278845000.0
Remove,131072.0,3829050.0,stddev,6124960.0,1476340.0
Remove,131072.0,0.0115167,cv,0.020353,0.00528268
Remove,131072.0,336733000.0,p90,306847000.0,281042000.0
Remove,131072.0,336951000.0,p95,307970000.0,281062000.0
Remove,131072.0,337126000.0,p99,308867000.0,281077000.0
Remove,262144.0,1181920000.0,mean,971530000.0,911086000.0
Remove,262144.0,1186010000.0,median,966851000.0,913234000.0
Remove,262144.0,6503090.0,stddev,19517900.0,6219530.0
Remove,262144.0,0.00550216,cv,0.0200898,0.0068265
Remove,262144.0,1187040000.0,p90,990744000.0,916031000.0
Remove,262144.0,1187300000.0,p95,997614000.0,916048000.0
Remove,262144.0,1187520000.0,p99,1003110000.0,916061000.0
Remove,524288.0,4187400000.0,mean,3191730000.0,2942300000.0
Remove,524288.0,4201550000.0,median,3191580000.0,2936720000.0
Remove,524288.0,38560900.0,stddev,41783300.0,15856700.0
Remove,524288.0,0.00920879,cv,0.0130911,0.00538924
Remove,524288.0,4210250000.0,p90,3233050000.0,2959430000.0
Remove,524288.0,4210910000.0,p95,3242200000.0,2963600000.0
Remove,524288.0,4211440000.0,p99,3249510000.0,2966930000.0
Remove,1048576.0,14731900000.0,mean,10527800000.0,9641600000.0
Remove,1048576.0,14708600000.0,median,10506600000.0,9665180000.0
Remove,1048576.0,98927100.0,stddev,87220000.0,55835400.0
Remove,1048576.0,0.00671517,cv,0.0082847,0.00579109
Remove,1048576.0,14832900000.0,p90,10615300000.0,9691040000.0
Remove,1048576.0,14861400000.0,p95,10643700000.0,9693780000.0
Remove,1048576.0,14884200000.0,p99,10666500000.0,9695970000.0
Search,256.0,4159.29,mean,6137.48,5559.87
Search,256.0,4173.71,median,6137.57,5563.51
Search,256.0,32.2827,stddev,46.0139,24.0071
Search,256.0,0.0077616,cv,0.0074972,0.00431792
Search,256.0,4187.11,p90,6179.37,5582.45
Search,256.0,4189.64,p95,6190.99,5584.08
Search,256.0,4191.65,p99,6200.28,5585.37
Search,512.0,13428.0,mean,19890.0,18041.7
Search,512.0,13365.9,median,19908.4,18028.6
Search,512.0,114.05,stddev,175.078,29.7868
Search,512.0,0.00849343,cv,0.00880233,0.00165099
Search,512.0,13555.9,p90,20047.8,18073.7
Search,512.0,13566.8,p95,20082.2,18074.3
Search,512.0,13575.5,p99,20109.8,18074.8
Search,1024.0,44997.4,mean,65295.8,59605.1
Search,1024.0,44458.3,median,65311.7,59592.9
Search,1024.0,1755.17,stddev,96.5605,176.939
Search,1024.0,0.039006,cv,0.00147882,0.00296852
Search,1024.0,46673.3,p90,65379.6,59785.1
Search,1024.0,47385.4,p95,65385.1,59789.2
Search,1024.0,47955.1,p99,65389.5,59792.5
Search,2048.0,146439.0,mean,217509.0,194494.0
Search,2048.0,147051.0,median,214683.0,194310.0
Search,2048.0,3046.97,stddev,7183.06,494.05
Search,2048.0,0.0208071,cv,0.0330242,0.00254018
Search,2048.0,149395.0,p90,225406.0,195018.0
Search,2048.0,149971.0,p95,226961.0,195027.0
Search,2048.0,150431.0,p99,228205.0,195035.0
Search,4096.0,584552.0,mean,794203.0,717343.0
Search,4096.0,585500.0,median,798245.0,717881.0
Search,4096.0,4400.75,stddev,11633.8,2144.53
Search,4096.0,0.00752841,cv,0.0146484,0.00298954
Search,4096.0,587785.0,p90,805041.0,719200.0
Search,4096.0,588014.0,p95,806856.0,719223.0
Search,4096.0,588198.0,p99,808309.0,719242.0
Search,8192.0,2295250.0,mean,2772160.0,2572950.0
Search,8192.0,2293940.0,median,2767160.0,2564750.0
Search,8192.0,15462.3,stddev,13162.5,18329.4
Search,8192.0,0.00673663,cv,0.0047481,0.00712388
Search,8192.0,2311490.0,p90,2786210.0,2593320.0
Search,8192.0,2314000.0,p95,2788450.0,2597120.0
Search,8192.0,2316000.0,p99,2790240.0,2600160.0
Search,16384.0,7779690.0,mean,8866020.0,8312990.0
Search,16384.0,7787180.0,median,8868070.0,8325780.0
Search,16384.0,26038.2,stddev,14014.9,28174.8
Search,16384.0,0.00334695,cv,0.00158074,0.00338925
Search,16384.0,7802850.0,p90,8879110.0,8330830.0
Search,16384.0,7803920.0,p95,8880680.0,8332370.0
Search,16384.0,7804780.0,p99,8881930.0,8333610.0
Search,32768.0,27691400.0,mean,29312700.0,27636300.0
Search,32768.0,27750600.0,median,29302100.0,27697800.0
Search,32768.0,121141.0,stddev,122607.0,126311.0
Search,32768.0,0.00437468,cv,0.00418273,0.00457047
Search,32768.0,27795600.0,p90,29437900.0,27744300.0
Search,32768.0,27806300.0,p95,29470800.0,27752600.0
Search,32768.0,27814900.0,p99,29497100.0,27759200.0
Search,65536.0,93276300.0,mean,92150500.0,86838400.0
Search,65536.0,93924300.0,median,92046000.0,86830500.0
Search,65536.0,1670970.0,stddev,718660.0,382037.0
Search,65536.0,0.0179142,cv,0.00779876,0.00439939
Search,65536.0,94322100.0,p90,92907700.0,87209500.0
Search,65536.0,94346100.0,p95,92959000.0,87240500.0
Search,65536.0,94365300.0,p99,93000100.0,87265300.0
Search,131072.0,335320000.0,mean,298899000.0,282482000.0
Search,131072.0,335228000.0,median,298886000.0,282024000.0
Search,131072.0,1806940.0,stddev,1744360.0,1738020.0
Search,131072.0,0.00538869,cv,0.00583596,0.00615269
Search,131072.0,337109000.0,p90,300603000.0,284305000.0
Search,131072.0,337704000.0,p95,301137000.0,284564000.0
Search,131072.0,338180000.0,p99,301564000.0,284771000.0
Search,262144.0,1196110000.0,mean,969753000.0,914229000.0
Search,262144.0,1198220000.0,median,969384000.0,915354000.0
Search,262144.0,9585720.0,stddev,5042510.0,2838230.0
Search,262144.0,0.00801406,cv,0.00519979,0.0031045
Search,262144.0,1202770000.0,p90,974510000.0,916706000.0
Search,262144.0,1203040000.0,p95,976182000.0,917132000.0
Search,262144.0,1203250000.0,p99,977518000.0,917473000.0
Search,524288.0,4265130000.0,mean,3151620000.0,2986190000.0
Search,524288.0,4266730000.0,median,3146990000.0,2981370000.0
Search,524288.0,19723300.0,stddev,14789000.0,16743100.0
Search,524288.0,0.00462432,cv,0.0046925,0.00560684
Search,524288.0,4284640000.0,p90,3167030000.0,3002290000.0
Search,524288.0,4286170000.0,p95,3168370000.0,3008800000.0
Search,524288.0,4287400000.0,p99,3169440000.0,3014000000.0
Search,1048576.0,15084200000.0,mean,10452800000.0,10001800000.0
Search,1048576.0,15085500000.0,median,10426300000.0,9914660000.0
Search,1048576.0,57312500.0,stddev,83944100.0,183902000.0
Search,1048576.0,0.0037995,cv,0.0080308,0.0183868
Search,1048576.0,15142000000.0,p90,10539700000.0,10203500000.0
Search,1048576.0,15154200000.0,p95,10541700000.0,10212000000.0
Search,1048576.0,15164000000.0,p99,10543200000.0,10218800000.0
