op,size,cpu_time1withoutsqrOpt,stat,cpu_time_3withOpt,cpu_time_4nodebug
PushRandom,16384.0,0.0075449,cv,0.00272055,0.00183561
PushRandom,16384.0,2241360.0,p90,3126240.0,3043270.0
PushRandom,16384.0,2243520.0,p95,3127540.0,3043720.0
PushRandom,16384.0,2245250.0,p99,3128590.0,3044090.0
PushRandom,32768.0,5748960.0,mean,7634440.0,7434240.0
PushRandom,32768.0,5737020.0,median,7639320.0,7436390.0
PushRandom,32768.0,42891.2,stddev,36746.6,17128.9
PushRandom,32768.0,0.00746069,cv,0.00481326,0.00230406
PushRandom,32768.0,5803740.0,p90,7672980.0,7445440.0
PushRandom,32768.0,5816740.0,p95,7677070.0,7457070.0
PushRandom,32768.0,5827150.0,p99,7680330.0,7466380.0
PushRandom,65536.0,15385700.0,mean,18918500.0,18544000.0
PushRandom,65536.0,15397900.0,median,18938500.0,18553900.0
PushRandom,65536.0,63584.5,stddev,48728.9,55707.2
PushRandom,65536.0,0.0041327,cv,0.00257573,0.00300405
PushRandom,65536.0,15456800.0,p90,18958300.0,18604200.0
PushRandom,65536.0,15459700.0,p95,18962100.0,18609300.0
PushRandom,65536.0,15462000.0,p99,18965200.0,18613400.0
PushRandom,131072.0,41957200.0,mean,47277200.0,46345800.0
PushRandom,131072.0,41968600.0,median,47257000.0,46338800.0
PushRandom,131072.0,154159.0,stddev,185861.0,118915.0
PushRandom,131072.0,0.0036742,cv,0.00393129,0.00256582
PushRandom,131072.0,42088700.0,p90,47463500.0,46491900.0
PushRandom,131072.0,42168200.0,p95,47545700.0,46505200.0
PushRandom,131072.0,42231800.0,p99,47611400.0,46515800.0
PushRandom,262144.0,117254000.0,mean,119198000.0,116800000.0
PushRandom,262144.0,117028000.0,median,119265000.0,116753000.0
PushRandom,262144.0,1098380.0,stddev,616101.0,474590.0
PushRandom,262144.0,0.00936749,cv,0.00516871,0.00406326
PushRandom,262144.0,118606000.0,p90,119777000.0,117439000.0
PushRandom,262144.0,118696000.0,p95,119987000.0,117520000.0
PushRandom,262144.0,118769000.0,p99,120154000.0,117585000.0
PushRandom,524288.0,334362000.0,mean,303838000.0,297584000.0
PushRandom,524288.0,333583000.0,median,303348000.0,296674000.0
PushRandom,524288.0,3416990.0,stddev,2785920.0,2321330.0
PushRandom,524288.0,0.0102194,cv,0.00916911,0.00780059
PushRandom,524288.0,337808000.0,p90,305513000.0,300475000.0
PushRandom,524288.0,339174000.0,p95,308183000.0,300616000.0
PushRandom,524288.0,340268000.0,p99,310319000.0,300729000.0
PushRandom,1048576.0,943472000.0,mean,787622000.0,777917000.0
PushRandom,1048576.0,946189000.0,median,784419000.0,773762000.0
PushRandom,1048576.0,10200800.0,stddev,12413700.0,9144590.0
PushRandom,1048576.0,0.0108119,cv,0.015761,0.0117552
PushRandom,1048576.0,950678000.0,p90,805221000.0,789005000.0
PushRandom,1048576.0,955564000.0,p95,809040000.0,789780000.0
PushRandom,1048576.0,959472000.0,p99,812095000.0,790401000.0
PushSortedAsc,256.0,2664.89,mean,3443.16,2680.51
PushSortedAsc,256.0,2667.01,median,3444.51,2679.78
PushSortedAsc,256.0,11.0872,stddev,19.4405,6.27597
PushSortedAsc,256.0,0.00416047,cv,0.0056461,0.00234133
PushSortedAsc,256.0,2675.16,p90,3460.18,2688.32
PushSortedAsc,256.0,2680.56,p95,3469.9,2689.43
PushSortedAsc,256.0,2684.88,p99,3477.68,2690.32
PushSortedAsc,512.0,5186.83,mean,6482.42,4899.0
PushSortedAsc,512.0,5177.54,median,6469.71,4900.43
PushSortedAsc,512.0,32.8437,stddev,34.4181,16.8963
PushSortedAsc,512.0,0.00633214,cv,0.00530945,0.00344892
PushSortedAsc,512.0,5223.14,p90,6525.53,4916.35
PushSortedAsc,512.0,5236.12,p95,6539.2,4917.18
PushSortedAsc,512.0,5246.5,p99,6550.13,4917.84
PushSortedAsc,1024.0,10490.5,mean,12738.6,9474.32
PushSortedAsc,1024.0,10465.2,median,12761.8,9469.28
PushSortedAsc,1024.0,101.88,stddev,92.0912,31.9676
PushSortedAsc,1024.0,0.0097117,cv,0.00722928,0.00337413
PushSortedAsc,1024.0,10623.5,p90,12823.8,9519.99
PushSortedAsc,1024.0,10636.7,p95,12853.2,9523.84
PushSortedAsc,1024.0,10647.3,p99,12876.8,9526.92
PushSortedAsc,2048.0,21815.7,mean,25423.7,19323.2
PushSortedAsc,2048.0,21821.9,median,25403.3,19345.4
PushSortedAsc,2048.0,92.2252,stddev,173.351,244.368
PushSortedAsc,2048.0,0.00422747,cv,0.00681846,0.0126464
PushSortedAsc,2048.0,21922.4,p90,25642.5,19579.1
PushSortedAsc,2048.0,21938.1,p95,25644.7,19616.9
PushSortedAsc,2048.0,21950.6,p99,25646.4,19647.1
PushSortedAsc,4096.0,46090.4,mean,51352.1,37733.9
PushSortedAsc,4096.0,46090.1,median,51404.8,37766.2
PushSortedAsc,4096.0,182.995,stddev,206.361,113.36
PushSortedAsc,4096.0,0.00397034,cv,0.00401854,0.00300419
PushSortedAsc,4096.0,46277.9,p90,51483.2,37808.9
PushSortedAsc,4096.0,46324.8,p95,51606.2,37830.0
PushSortedAsc,4096.0,46362.4,p99,51704.5,37846.9
PushSortedAsc,8192.0,99944.0,mean,104224.0,76413.5
PushSortedAsc,8192.0,99954.0,median,104241.0,76386.0
PushSortedAsc,8192.0,486.69,stddev,626.367,305.681
PushSortedAsc,8192.0,0.00486963,cv,0.00600982,0.00400035
PushSortedAsc,8192.0,100432.0,p90,104904.0,76686.4
PushSortedAsc,8192.0,100646.0,p95,105107.0,76894.3
PushSortedAsc,8192.0,100818.0,p99,105270.0,77060.6
PushSortedAsc,16384.0,213889.0,mean,211361.0,155375.0
PushSortedAsc,16384.0,213510.0,median,211374.0,155388.0
PushSortedAsc,16384.0,1343.44,stddev,1941.19,488.663
PushSortedAsc,16384.0,0.00628103,cv,0.00918425,0.00314506
PushSortedAsc,16384.0,215767.0,p90,213505.0,155839.0
PushSortedAsc,16384.0,216002.0,p95,213933.0,156030.0
PushSortedAsc,16384.0,216190.0,p99,214276.0,156183.0
PushSortedAsc,32768.0,465839.0,mean,427490.0,315776.0
PushSortedAsc,32768.0,465234.0,median,428175.0,315565.0
PushSortedAsc,32768.0,2982.27,stddev,3037.02,1929.49
PushSortedAsc,32768.0,0.00640194,cv,0.00710431,0.00611031
PushSortedAsc,32768.0,469645.0,p90,430445.0,317112.0
PushSortedAsc,32768.0,470469.0,p95,431289.0,318851.0
PushSortedAsc,32768.0,471127.0,p99,431964.0,320243.0
PushSortedAsc,65536.0,1044560.0,mean,861426.0,638168.0
PushSortedAsc,65536.0,1043820.0,median,862683.0,638585.0
PushSortedAsc,65536.0,6712.11,stddev,3720.48,2269.66
PushSortedAsc,65536.0,0.00642581,cv,0.00431898,0.00355653
PushSortedAsc,65536.0,1051490.0,p90,865287.0,640200.0
PushSortedAsc,65536.0,1054930.0,p95,865395.0,640252.0
PushSortedAsc,65536.0,1057680.0,p99,865480.0,640294.0
PushSortedAsc,131072.0,2399010.0,mean,1707780.0,1287370.0
PushSortedAsc,131072.0,2395030.0,median,1706450.0,1287660.0
PushSortedAsc,131072.0,24980.6,stddev,8327.44,3571.42
PushSortedAsc,131072.0,0.0104129,cv,0.00487619,0.00277419
PushSortedAsc,131072.0,2425030.0,p90,1718670.0,1290850.0
PushSortedAsc,131072.0,2440310.0,p95,1719750.0,1291060.0
PushSortedAsc,131072.0,2452520.0,p99,1720630.0,1291230.0
PushSortedAsc,262144.0,5539900.0,mean,3416540.0,2580540.0
PushSortedAsc,262144.0,5542480.0,median,3417810.0,2579270.0
PushSortedAsc,262144.0,38670.8,stddev,13267.1,13232.5
PushSortedAsc,262144.0,0.00698042,cv,0.00388319,0.00512782
PushSortedAsc,262144.0,5581020.0,p90,3426760.0,2590570.0
PushSortedAsc,262144.0,5586640.0,p95,3434410.0,2599570.0
PushSortedAsc,262144.0,5591130.0,p99,3440540.0,2606780.0
PushSortedAsc,524288.0,12617900.0,mean,6896400.0,5169900.0
PushSortedAsc,524288.0,12600400.0,median,6897160.0,5173600.0
PushSortedAsc,524288.0,64686.0,stddev,30781.0,10519.6
PushSortedAsc,524288.0,0.00512652,cv,0.00446334,0.00203478
PushSortedAsc,524288.0,12692900.0,p90,6926900.0,5179880.0
PushSortedAsc,524288.0,12724000.0,p95,6932850.0,5180730.0
PushSortedAsc,524288.0,12748900.0,p99,6937600.0,5181410.0
PushSortedAsc,1048576.0,28859800.0,mean,13690700.0,10307700.0
PushSortedAsc,1048576.0,28820700.0,median,13713100.0,10346300.0
PushSortedAsc,1048576.0,199908.0,stddev,56829.6,167559.0
PushSortedAsc,1048576.0,0.00692687,cv,0.00415096,0.0162557
PushSortedAsc,1048576.0,29121700.0,p90,13745300.0,10427400.0
PushSortedAsc,1048576.0,29144200.0,p95,13752800.0,10528700.0
PushSortedAsc,1048576.0,29162200.0,p99,13758800.0,10609700.0
PushSortedDesc,256.0,11031.3,mean,21888.5,19080.9
PushSortedDesc,256.0,11019.5,median,21893.4,19067.5
PushSortedDesc,256.0,58.2443,stddev,65.6489,89.3528
PushSortedDesc,256.0,0.00527993,cv,0.00299923,0.00468285
PushSortedDesc,256.0,11086.7,p90,21949.0,19137.6
PushSortedDesc,256.0,11122.6,p95,21965.7,19217.0
PushSortedDesc,256.0,11151.4,p99,21979.1,19280.6
PushSortedDesc,512.0,28910.1,mean,62449.9,52937.9
PushSortedDesc,512.0,28941.1,median,62295.7,52920.2
PushSortedDesc,512.0,141.775,stddev,1619.07,323.591
PushSortedDesc,512.0,0.00490401,cv,0.0259259,0.00611264
PushSortedDesc,512.0,29071.3,p90,64158.7,53346.8
PushSortedDesc,512.0,29075.5,p95,64169.4,53356.1
PushSortedDesc,512.0,29078.9,p99,64178.0,53363.6
PushSortedDesc,1024.0,84693.8,mean,162573.0,149225.0
PushSortedDesc,1024.0,79964.7,median,159447.0,151166.0
PushSortedDesc,1024.0,7207.75,stddev,6342.54,4480.96
PushSortedDesc,1024.0,0.0851036,cv,0.0390134,0.0300282
PushSortedDesc,1024.0,94373.4,p90,173712.0,153364.0
PushSortedDesc,1024.0,94765.7,p95,173757.0,153397.0
PushSortedDesc,1024.0,95079.5,p99,173792.0,153424.0
PushSortedDesc,2048.0,238709.0,mean,441699.0,424714.0
PushSortedDesc,2048.0,237951.0,median,441506.0,423967.0
PushSortedDesc,2048.0,3833.53,stddev,2636.11,2006.9
PushSortedDesc,2048.0,0.0160594,cv,0.00596811,0.00472529
PushSortedDesc,2048.0,244215.0,p90,443873.0,427585.0
PushSortedDesc,2048.0,244227.0,p95,445538.0,428114.0
PushSortedDesc,2048.0,244237.0,p99,446870.0,428536.0
PushSortedDesc,4096.0,628077.0,mean,1175940.0,1097960.0
PushSortedDesc,4096.0,628568.0,median,1177810.0,1098590.0
PushSortedDesc,4096.0,2050.55,stddev,6156.42,10385.6
PushSortedDesc,4096.0,0.0032648,cv,0.00523531,0.00945901
PushSortedDesc,4096.0,629642.0,p90,1181240.0,1107690.0
PushSortedDesc,4096.0,630690.0,p95,1181360.0,1109580.0
PushSortedDesc,4096.0,631528.0,p99,1181460.0,1111090.0
PushSortedDesc,8192.0,1624950.0,mean,3023050.0,2892500.0
PushSortedDesc,8192.0,1624010.0,median,3020580.0,2892020.0
PushSortedDesc,8192.0,11484.7,stddev,9357.77,14661.6
PushSortedDesc,8192.0,0.00706775,cv,0.00309547,0.00506883
PushSortedDesc,8192.0,1639350.0,p90,3035910.0,2907830.0
PushSortedDesc,8192.0,1640910.0,p95,3038220.0,2913220.0
PushSortedDesc,8192.0,1642170.0,p99,3040070.0,2917540.0
PushSortedDesc,16384.0,4200080.0,mean,7701410.0,7371650.0
PushSortedDesc,16384.0,4193980.0,median,7697570.0,7374460.0
PushSortedDesc,16384.0,35229.2,stddev,44261.1,28720.3
PushSortedDesc,16384.0,0.00838775,cv,0.00574715,0.00389604
PushSortedDesc,16384.0,4234780.0,p90,7767210.0,7397170.0
PushSortedDesc,16384.0,4253310.0,p95,7768470.0,7400150.0
PushSortedDesc,16384.0,4268130.0,p99,7769480.0,7402530.0
PushSortedDesc,32768.0,10932500.0,mean,19619100.0,18735200.0
PushSortedDesc,32768.0,10933100.0,median,19607400.0,18737600.0
PushSortedDesc,32768.0,47592.7,stddev,74014.8,36032.6
PushSortedDesc,32768.0,0.00435331,cv,0.00377259,0.00192325
PushSortedDesc,32768.0,10984900.0,p90,19685300.0,18771600.0
PushSortedDesc,32768.0,11002800.0,p95,19741800.0,18772600.0
PushSortedDesc,32768.0,11017100.0,p99,19787100.0,18773400.0
PushSortedDesc,65536.0,29156500.0,mean,49773600.0,47661800.0
PushSortedDesc,65536.0,29129300.0,median,49774700.0,47645000.0
PushSortedDesc,65536.0,277049.0,stddev,137273.0,119412.0
PushSortedDesc,65536.0,0.00950213,cv,0.00275795,0.00250541
PushSortedDesc,65536.0,29515900.0,p90,49923100.0,47814000.0
PushSortedDesc,65536.0,29560600.0,p95,49978800.0,47832600.0
PushSortedDesc,65536.0,29596300.0,p99,50023300.0,47847500.0
PushSortedDesc,131072.0,79357100.0,mean,126373000.0,121354000.0
PushSortedDesc,131072.0,79245300.0,median,126429000.0,121234000.0
PushSortedDesc,131072.0,715592.0,stddev,449890.0,434815.0
PushSortedDesc,131072.0,0.00901737,cv,0.00356001,0.00358304
PushSortedDesc,131072.0,80198400.0,p90,126665000.0,121969000.0
PushSortedDesc,131072.0,80315600.0,p95,126986000.0,122039000.0
PushSortedDesc,131072.0,80409300.0,p99,127242000.0,122095000.0
PushSortedDesc,262144.0,217666000.0,mean,331506000.0,314126000.0
PushSortedDesc,262144.0,217919000.0,median,328527000.0,314423000.0
PushSortedDesc,262144.0,1716790.0,stddev,5901750.0,1387530.0
PushSortedDesc,262144.0,0.0078873,cv,0.0178028,0.00441712
PushSortedDesc,262144.0,219287000.0,p90,337038000.0,315379000.0
PushSortedDesc,262144.0,219719000.0,p95,340825000.0,315850000.0
PushSortedDesc,262144.0,220065000.0,p99,343855000.0,316226000.0
PushSortedDesc,524288.0,601329000.0,mean,855143000.0,814499000.0
PushSortedDesc,524288.0,601347000.0,median,854568000.0,813695000.0
PushSortedDesc,524288.0,4339950.0,stddev,7439580.0,3247370.0
PushSortedDesc,524288.0,0.00721726,cv,0.00869981,0.00398695
PushSortedDesc,524288.0,605888000.0,p90,861566000.0,819666000.0
PushSortedDesc,524288.0,607293000.0,p95,865712000.0,819692000.0
PushSortedDesc,524288.0,608417000.0,p99,869028000.0,819713000.0
PushSortedDesc,1048576.0,1666610000.0,mean,2199120000.0,2080110000.0
PushSortedDesc,1048576.0,1666470000.0,median,2192020000.0,2079110000.0
PushSortedDesc,1048576.0,5612880.0,stddev,28170800.0,3486640.0
PushSortedDesc,1048576.0,0.00336784,cv,0.0128101,0.00167618
PushSortedDesc,1048576.0,1673680000.0,p90,2225260000.0,2082830000.0
PushSortedDesc,1048576.0,1673890000.0,p95,2247820000.0,2085840000.0
PushSortedDesc,1048576.0,1674050000.0,p99,2265870000.0,2088240000.0
Extract,256.0,12216.2,mean,28475.5,25747.2
Extract,256.0,12258.9,median,28441.8,25731.5
Extract,256.0,127.16,stddev,183.955,52.8223
Extract,256.0,0.0104091,cv,0.0064601,0.00205158
Extract,256.0,12373.0,p90,28738.1,25820.6
Extract,256.0,12385.2,p95,28773.0,25826.4
Extract,256.0,12394.9,p99,28801.0,25831.0
Extract,512.0,31576.1,mean,77813.5,71508.6
Extract,512.0,31543.1,median,77321.4,71557.6
Extract,512.0,203.123,stddev,1537.71,328.882
Extract,512.0,0.00643279,cv,0.0197615,0.00459919
Extract,512.0,31749.3,p90,78014.8,71799.9
Extract,512.0,31885.0,p95,80093.7,71910.5
Extract,512.0,31993.6,p99,81756.8,71999.0
Extract,1024.0,102137.0,mean,214383.0,201750.0
Extract,1024.0,101415.0,median,212072.0,199883.0
Extract,1024.0,2481.64,stddev,6284.06,5903.64
Extract,1024.0,0.0242972,cv,0.0293123,0.0292622
Extract,1024.0,104617.0,p90,219365.0,208482.0
Extract,1024.0,106276.0,p95,225331.0,208497.0
Extract,1024.0,107603.0,p99,230103.0,208509.0
Extract,2048.0,334214.0,mean,610328.0,558371.0
Extract,2048.0,333844.0,median,609517.0,559496.0
Extract,2048.0,1857.3,stddev,1730.95,2985.47
Extract,2048.0,0.00555721,cv,0.00283609,0.00534675
Extract,2048.0,336148.0,p90,613114.0,560981.0
Extract,2048.0,337118.0,p95,613355.0,561095.0
Extract,2048.0,337894.0,p99,613549.0,561186.0
Extract,4096.0,875662.0,mean,1572090.0,1460130.0
Extract,4096.0,875524.0,median,1574110.0,1461380.0
Extract,4096.0,4572.24,stddev,6091.04,8479.61
Extract,4096.0,0.00522147,cv,0.00387448,0.00580744
Extract,4096.0,879999.0,p90,1577450.0,1467310.0
Extract,4096.0,881834.0,p95,1578210.0,1468510.0
Extract,4096.0,883302.0,p99,1578810.0,1469460.0
Extract,8192.0,2287340.0,mean,4045950.0,3783620.0
Extract,8192.0,2291660.0,median,4044890.0,3779490.0
Extract,8192.0,13793.2,stddev,20733.6,20003.4
Extract,8192.0,0.00603024,cv,0.00512453,0.00528684
Extract,8192.0,2300210.0,p90,4063900.0,3810110.0
Extract,8192.0,2301540.0,p95,4076030.0,3815260.0
Extract,8192.0,2302610.0,p99,4085740.0,3819390.0
Extract,16384.0,6094820.0,mean,10440900.0,9843670.0
Extract,16384.0,6084260.0,median,10436400.0,9830920.0
Extract,16384.0,42676.4,stddev,59760.8,60406.8
Extract,16384.0,0.00700208,cv,0.00572375,0.00613662
Extract,16384.0,6126170.0,p90,10531200.0,9943900.0
Extract,16384.0,6164190.0,p95,10537400.0,9945270.0
Extract,16384.0,6194610.0,p99,10542400.0,9946360.0
Extract,32768.0,16382500.0,mean,26911600.0,25527400.0
Extract,32768.0,16404000.0,median,26940300.0,25541400.0
Extract,32768.0,142761.0,stddev,165616.0,90094.5
Extract,32768.0,0.00871423,cv,0.00615408,0.00352933
Extract,32768.0,16483600.0,p90,27076200.0,25644900.0
Extract,32768.0,16582000.0,p95,27109200.0,25651100.0
Extract,32768.0,16660700.0,p99,27135500.0,25656100.0
Extract,65536.0,44807100.0,mean,69311900.0,65956600.0
Extract,65536.0,44699300.0,median,69370800.0,66001400.0
Extract,65536.0,429636.0,stddev,303427.0,259576.0
Extract,65536.0,0.00958856,cv,0.0043777,0.00393556
Extract,65536.0,45429000.0,p90,69572200.0,66087400.0
Extract,65536.0,45495700.0,p95,69642300.0,66209900.0
Extract,65536.0,45549100.0,p99,69698300.0,66307800.0
Extract,131072.0,123921000.0,mean,179090000.0,170736000.0
Extract,131072.0,123865000.0,median,179026000.0,170741000.0
Extract,131072.0,1050960.0,stddev,646974.0,570550.0
Extract,131072.0,0.00848087,cv,0.00361257,0.00334172
Extract,131072.0,124723000.0,p90,179832000.0,171282000.0
Extract,131072.0,125298000.0,p95,180001000.0,171467000.0
Extract,131072.0,125757000.0,p99,180137000.0,171614000.0
Extract,262144.0,352565000.0,mean,467017000.0,444439000.0
Extract,262144.0,352637000.0,median,467461000.0,444482000.0
Extract,262144.0,3409770.0,stddev,2001550.0,1250460.0
Extract,262144.0,0.00967134,cv,0.00428581,0.00281357
Extract,262144.0,356771000.0,p90,469463000.0,445804000.0
Extract,262144.0,357119000.0,p95,469615000.0,445950000.0
Extract,262144.0,357398000.0,p99,469737000.0,446068000.0
Extract,524288.0,996354000.0,mean,1263290000.0,1201100000.0
Extract,524288.0,998038000.0,median,1261480000.0,1201420000.0
Extract,524288.0,7574720.0,stddev,9551680.0,6118860.0
Extract,524288.0,0.00760244,cv,0.00756096,0.00509439
Extract,524288.0,1004780000.0,p90,1275400000.0,1207660000.0
Extract,524288.0,1005990000.0,p95,1277570000.0,1209730000.0
Extract,524288.0,1006950000.0,p99,1279300000.0,1211380000.0
Extract,1048576.0,2917500000.0,mean,3579810000.0,3333460000.0
Extract,1048576.0,2914060000.0,median,3566380000.0,3333710000.0
Extract,1048576.0,17405000.0,stddev,71460900.0,13057800.0
Extract,1048576.0,0.0059657,cv,0.0199622,0.0039172
Extract,1048576.0,2940370000.0,p90,3652010000.0,3347530000.0
Extract,1048576.0,2940980000.0,p95,3683640000.0,3348420000.0
Extract,1048576.0,2941470000.0,p99,3708930000.0,3349130000.0
Remove,256.0,5012.68,mean,7347.2,6768.61
Remove,256.0,5008.7,median,7357.32,6762.99
Remove,256.0,14.1917,stddev,34.514,12.0434
Remove,256.0,0.00283115,cv,0.00469757,0.0017793
Remove,256.0,5028.11,p90,7369.41,6781.9
Remove,256.0,5031.14,p95,7369.86,6784.37
Remove,256.0,5033.56,p99,7370.22,6786.35
Remove,512.0,14407.6,mean,21662.9,19728.1
Remove,512.0,14303.9,median,21623.2,19720.8
Remove,512.0,357.994,stddev,136.019,28.1467
Remove,512.0,0.0248476,cv,0.00627889,0.00142673
Remove,512.0,14762.5,p90,21804.4,19758.1
Remove,512.0,14877.5,p95,21847.3,19765.5
Remove,512.0,14969.6,p99,21881.7,19771.4
Remove,1024.0,54689.7,mean,70472.9,64861.4
Remove,1024.0,56574.4,median,70397.2,64899.4
Remove,1024.0,3635.35,stddev,307.579,370.823
Remove,1024.0,0.0664723,cv,0.0043645,0.00571716
Remove,1024.0,57034.0,p90,70795.5,65190.4
Remove,1024.0,57051.1,p95,70799.1,65263.8
Remove,1024.0,57064.7,p99,70802.0,65322.4
Remove,2048.0,199334.0,mean,257286.0,240829.0
Remove,2048.0,199291.0,median,247812.0,238930.0
Remove,2048.0,692.948,stddev,14765.2,14950.0
Remove,2048.0,0.00347632,cv,0.0573881,0.0620773
Remove,2048.0,200053.0,p90,273916.0,256266.0
Remove,2048.0,200189.0,p95,276706.0,256992.0
Remove,2048.0,200298.0,p99,278939.0,257573.0
Remove,4096.0,665867.0,mean,847216.0,786922.0
Remove,4096.0,665567.0,median,850337.0,785522.0
Remove,4096.0,4817.16,stddev,11966.5,12923.0
Remove,4096.0,0.00723442,cv,0.0141245,0.0164222
Remove,4096.0,670407.0,p90,858090.0,800310.0
Remove,4096.0,670688.0,p95,859053.0,800870.0
Remove,4096.0,670912.0,p99,859823.0,801318.0
