op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
PushRandom,65536.0,12502100.0,p95,17.6564,12661000.0
PushRandom,65536.0,12512400.0,p99,17.8286,12666100.0
PushRandom,131072.0,25801700.0,mean,17.6652,26248700.0
PushRandom,131072.0,25862600.0,median,17.6343,26215200.0
PushRandom,131072.0,255333.0,stddev,0.318998,374671.0
PushRandom,131072.0,0.00989598,cv,0.018058,0.0142739
PushRandom,131072.0,26068000.0,p90,18.0749,26503900.0
PushRandom,131072.0,26088700.0,p95,18.1596,26783200.0
PushRandom,131072.0,26105200.0,p99,18.2274,27006500.0
PushRandom,262144.0,57870400.0,mean,10354.6,58445900.0
PushRandom,262144.0,57770300.0,median,10192.6,58526400.0
PushRandom,262144.0,359011.0,stddev,10198.9,431148.0
PushRandom,262144.0,0.0062037,cv,10544.2,0.00737687
PushRandom,262144.0,58427000.0,p90,10221.3,58894500.0
PushRandom,262144.0,58477700.0,p95,10041.1,58961300.0
PushRandom,262144.0,58518300.0,p99,10246.2,59014700.0
PushRandom,524288.0,125073000.0,mean,10194.3,125861000.0
PushRandom,524288.0,125115000.0,median,10168.9,126110000.0
PushRandom,524288.0,706504.0,stddev,10337.5,995275.0
PushRandom,524288.0,0.00564875,cv,10250.0,0.00790771
PushRandom,524288.0,125728000.0,p90,10210.1,126740000.0
PushRandom,524288.0,126112000.0,p95,135.49,127132000.0
PushRandom,524288.0,126418000.0,p99,0.0132185,127446000.0
PushRandom,1048576.0,276594000.0,mean,10373.6,277252000.0
PushRandom,1048576.0,276752000.0,median,10458.9,277330000.0
PushRandom,1048576.0,1980990.0,stddev,10527.1,1555410.0
PushRandom,1048576.0,0.00716211,cv,22861.5,0.0056101
PushRandom,1048576.0,279412000.0,p90,23775.4,278984000.0
PushRandom,1048576.0,279497000.0,p95,23145.5,279588000.0
PushRandom,1048576.0,279564000.0,p99,22784.6,280072000.0
PushSortedAsc,256.0,6685.92,mean,24327.3,6870.95
PushSortedAsc,256.0,6695.43,median,22783.2,6862.44
PushSortedAsc,256.0,46.1195,stddev,22854.2,203.455
PushSortedAsc,256.0,0.006898,cv,23052.0,0.0296109
PushSortedAsc,256.0,6735.2,p90,20796.1,7106.31
PushSortedAsc,256.0,6736.85,p95,20652.9,7110.1
PushSortedAsc,256.0,6738.16,p99,22703.3,7113.14
PushSortedAsc,512.0,14367.4,mean,22857.8,15246.9
PushSortedAsc,512.0,14421.1,median,1155.0,15233.2
PushSortedAsc,512.0,220.832,stddev,0.0508736,217.764
PushSortedAsc,512.0,0.0153704,cv,23830.6,0.0142825
PushSortedAsc,512.0,14615.3,p90,24079.0,15488.3
PushSortedAsc,512.0,14625.0,p95,24277.6,15515.5
PushSortedAsc,512.0,14632.9,p99,49335.2,15537.3
PushSortedAsc,1024.0,37052.4,mean,48642.2,34217.8
PushSortedAsc,1024.0,38205.7,median,48801.6,33270.0
PushSortedAsc,1024.0,3070.27,stddev,48977.7,3694.3
PushSortedAsc,1024.0,0.082863,cv,48386.6,0.107964
PushSortedAsc,1024.0,40244.5,p90,48399.3,39650.1
PushSortedAsc,1024.0,40780.2,p95,48754.6,40658.1
PushSortedAsc,1024.0,41208.7,p99,48959.0,41464.5
PushSortedAsc,2048.0,65982.4,mean,48697.8,65751.1
PushSortedAsc,2048.0,65249.5,median,49073.8,65307.9
PushSortedAsc,2048.0,2334.3,stddev,48802.8,992.514
PushSortedAsc,2048.0,0.0353776,cv,48778.1,0.015095
PushSortedAsc,2048.0,68432.2,p90,295.716,67234.6
PushSortedAsc,2048.0,70171.2,p95,0.0060594,67365.7
PushSortedAsc,2048.0,71562.4,p99,49099.9,67470.5
PushSortedAsc,4096.0,204969.0,mean,49217.6,210915.0
PushSortedAsc,4096.0,204417.0,median,49311.7,210442.0
PushSortedAsc,4096.0,12118.4,stddev,158412.0,12498.3
PushSortedAsc,4096.0,0.0591229,cv,154854.0,0.0592575
PushSortedAsc,4096.0,212234.0,p90,160916.0,224472.0
PushSortedAsc,4096.0,222641.0,p95,198559.0,228625.0
PushSortedAsc,4096.0,230966.0,p99,198118.0,231947.0
PushSortedAsc,8192.0,467216.0,mean,199735.0,483101.0
PushSortedAsc,8192.0,466338.0,median,197078.0,485827.0
PushSortedAsc,8192.0,4228.41,stddev,197094.0,5204.62
PushSortedAsc,8192.0,0.00905023,cv,198688.0,0.0107734
PushSortedAsc,8192.0,472398.0,p90,195496.0,487246.0
PushSortedAsc,8192.0,472587.0,p95,185895.0,487515.0
PushSortedAsc,8192.0,472738.0,p99,197086.0,487730.0
PushSortedAsc,16384.0,980268.0,mean,19294.4,1001700.0
PushSortedAsc,16384.0,978590.0,median,0.103792,1001410.0
PushSortedAsc,16384.0,7359.66,stddev,198793.0,3341.75
PushSortedAsc,16384.0,0.00750781,cv,199264.0,0.00333607
PushSortedAsc,16384.0,987833.0,p90,199641.0,1005010.0
PushSortedAsc,16384.0,992684.0,p95,497089.0,1006630.0
PushSortedAsc,16384.0,996566.0,p99,481260.0,1007920.0
PushSortedAsc,32768.0,2017100.0,mean,479309.0,2055050.0
PushSortedAsc,32768.0,2016770.0,median,485270.0,2052980.0
PushSortedAsc,32768.0,7983.72,stddev,478771.0,7988.96
PushSortedAsc,32768.0,0.00395803,cv,479378.0,0.00388749
PushSortedAsc,32768.0,2023710.0,p90,486493.0,2064690.0
PushSortedAsc,32768.0,2029160.0,p95,483235.0,2067540.0
PushSortedAsc,32768.0,2033510.0,p99,483910.0,2069830.0
