op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
,,,,998398.0,0.030702
,,,,1001700.0,34154300.0
,,,,1001410.0,34280900.0
,,,,3341.75,34382200.0
,,,,0.00333607,
,,,,1005010.0,
,,,,1006630.0,
,,,,1007920.0,
,,,,2054010.0,
,,,,2070400.0,
,,,,2064060.0,
,,,,2048600.0,
,,,,2048800.0,
,,,,2045640.0,
,,,,2049920.0,
,,,,2062220.0,
,,,,2051950.0,
,,,,2054870.0,
,,,,2055050.0,
,,,,2052980.0,
,,,,7988.96,
,,,,0.00388749,
,,,,2064690.0,
,,,,2067540.0,
,,,,2069830.0,
,,,,4210250.0,
,,,,4211010.0,
,,,,4227310.0,
,,,,4243140.0,
,,,,4331820.0,
,,,,4402130.0,
,,,,4355660.0,
,,,,4384070.0,
,,,,4371540.0,
,,,,4352610.0,
,,,,4308950.0,
,,,,4342220.0,
,,,,76872.8,
,,,,0.0178402,
,,,,4385870.0,
,,,,4394000.0,
,,,,4400500.0,
,,,,8946910.0,
,,,,9048220.0,
,,,,9030450.0,
,,,,9007670.0,
,,,,9064510.0,
,,,,9038520.0,
,,,,8994420.0,
,,,,9209900.0,
,,,,9120860.0,
,,,,9070730.0,
,,,,9053220.0,
,,,,9043370.0,
,,,,72381.5,
,,,,0.00799511,
,,,,9129760.0,
,,,,9169830.0,
,,,,9201890.0,
,,,,18745000.0,
,,,,18919100.0,
,,,,18764600.0,
,,,,19015300.0,
,,,,18947300.0,
,,,,18903400.0,
,,,,19077900.0,
,,,,18939000.0,
,,,,18900500.0,
,,,,19086100.0,
,,,,18929800.0,
,,,,18929000.0,
,,,,114093.0,
,,,,0.00602714,
,,,,19078700.0,
,,,,19082400.0,
,,,,19085400.0,
,,,,41244600.0,
,,,,40631100.0,
,,,,39806000.0,
,,,,39288000.0,
,,,,39260100.0,
,,,,39796200.0,
,,,,38991900.0,
,,,,38795800.0,
,,,,38632700.0,
,,,,38692300.0,
,,,,39513900.0,
,,,,39274000.0,
,,,,866886.0,
,,,,0.0219388,
,,,,40692500.0,
,,,,40968500.0,
,,,,41189400.0,
,,,,81371400.0,
,,,,80551300.0,
,,,,80430600.0,
,,,,80827400.0,
,,,,79543100.0,
,,,,79508700.0,
,,,,80221500.0,
,,,,79165100.0,
,,,,78928800.0,
,,,,79732800.0,
,,,,80028100.0,
,,,,79977100.0,
,,,,779022.0,
,,,,0.00973436,
,,,,80881800.0,
,,,,81126600.0,
,,,,81322500.0,
,,,,14711.4,
,,,,14778.6,
,,,,14630.1,
,,,,14542.0,
,,,,14676.9,
,,,,14436.6,
,,,,14557.0,
,,,,14721.4,
,,,,14556.9,
,,,,14784.8,
,,,,14639.6,
,,,,14653.5,
,,,,114.569,
,,,,0.00782596,
,,,,14779.2,
,,,,14782.0,
,,,,14784.3,
,,,,35978.4,
,,,,35684.2,
,,,,35744.9,
,,,,35798.5,
,,,,35597.1,
,,,,35683.0,
,,,,35648.0,
,,,,35419.2,
,,,,35411.3,
,,,,35428.3,
,,,,35639.3,
,,,,35665.5,
,,,,183.232,
,,,,0.00514128,
,,,,35816.5,
,,,,35897.4,
,,,,35962.2,
,,,,94605.5,
,,,,94251.4,
,,,,93333.3,
,,,,93630.8,
,,,,93151.4,
,,,,94584.7,
,,,,93891.2,
,,,,92912.5,
,,,,94699.5,
,,,,94389.5,
,,,,93945.0,
,,,,94071.3,
,,,,656.41,
,,,,0.00698717,
,,,,94614.9,
,,,,94657.2,
,,,,94691.1,
,,,,318099.0,
,,,,314972.0,
,,,,319581.0,
,,,,319709.0,
,,,,332983.0,
,,,,343037.0,
,,,,349124.0,
,,,,358377.0,
,,,,350502.0,
,,,,358263.0,
,,,,336465.0,
,,,,338010.0,
,,,,17425.9,
,,,,0.0517912,
,,,,358274.0,
,,,,358326.0,
,,,,358367.0,
,,,,886680.0,
,,,,892070.0,
,,,,883696.0,
,,,,884627.0,
,,,,893337.0,
,,,,885216.0,
,,,,881214.0,
,,,,912514.0,
,,,,899121.0,
,,,,894906.0,
,,,,891338.0,
,,,,889375.0,
,,,,9376.99,
,,,,0.0105201,
,,,,900460.0,
,,,,906487.0,
,,,,911309.0,
,,,,2210570.0,
,,,,2201250.0,
,,,,2173550.0,
,,,,2203910.0,
,,,,2223800.0,
,,,,2278160.0,
,,,,2364160.0,
,,,,2317070.0,
,,,,2254200.0,
,,,,2277610.0,
,,,,2250430.0,
,,,,2239000.0,
,,,,59336.0,
,,,,0.0263666,
,,,,2321770.0,
,,,,2342970.0,
,,,,2359920.0,
,,,,5575870.0,
,,,,5430500.0,
,,,,5284830.0,
,,,,5245840.0,
,,,,5107930.0,
,,,,4924740.0,
,,,,5085980.0,
,,,,5113370.0,
,,,,5106950.0,
,,,,5186550.0,
,,,,5206260.0,
,,,,5149960.0,
,,,,187646.0,
,,,,0.0360425,
,,,,5445040.0,
,,,,5510450.0,
,,,,5562780.0,
,,,,11620000.0,
,,,,11440400.0,
,,,,11507800.0,
,,,,11467100.0,
,,,,11573300.0,
,,,,11679900.0,
,,,,11460100.0,
,,,,11552900.0,
,,,,11453500.0,
,,,,11460300.0,
,,,,11521500.0,
,,,,11487400.0,
,,,,81883.7,
,,,,0.00710702,
,,,,11626000.0,
,,,,11653000.0,
,,,,11674500.0,
,,,,26792200.0,
,,,,27272200.0,
,,,,26969000.0,
,,,,27013500.0,
,,,,27091700.0,
,,,,26387500.0,
,,,,26478500.0,
,,,,26336100.0,
,,,,26738800.0,
,,,,26552000.0,
,,,,26763200.0,
,,,,26765500.0,
,,,,320185.0,
,,,,0.0119636,
,,,,27109800.0,
,,,,27191000.0,
,,,,27255900.0,
,,,,61769600.0,
,,,,61966000.0,
,,,,61511800.0,
,,,,61538000.0,
,,,,63622800.0,
,,,,64501400.0,
,,,,64797500.0,
,,,,60656200.0,
,,,,60641700.0,
,,,,61013600.0,
,,,,62201900.0,
,,,,61653800.0,
,,,,1543410.0,
,,,,0.0248129,
,,,,64531000.0,
,,,,64664300.0,
,,,,64770900.0,
,,,,144466000.0,
,,,,147228000.0,
,,,,145820000.0,
,,,,144027000.0,
,,,,143770000.0,
,,,,144826000.0,
,,,,143903000.0,
,,,,144580000.0,
,,,,145726000.0,
,,,,144158000.0,
,,,,144850000.0,
,,,,144523000.0,
,,,,1095480.0,
,,,,0.00756282,
,,,,145961000.0,
,,,,146594000.0,
,,,,147101000.0,
,,,,330082000.0,
,,,,329189000.0,
,,,,326524000.0,
,,,,326321000.0,
,,,,333115000.0,
,,,,335886000.0,
,,,,342186000.0,
,,,,355779000.0,
,,,,366472000.0,
,,,,361121000.0,
,,,,340667000.0,
,,,,334500000.0,
,,,,15071900.0,
,,,,0.0442422,
,,,,361656000.0,
,,,,364064000.0,
,,,,365990000.0,
,,,,837718000.0,
,,,,839848000.0,
,,,,845770000.0,
,,,,839644000.0,
,,,,842431000.0,
,,,,842094000.0,
,,,,833903000.0,
,,,,827593000.0,
,,,,818433000.0,
,,,,821987000.0,
,,,,834942000.0,
,,,,838681000.0,
,,,,9272590.0,
,,,,0.0111057,
,,,,842765000.0,
,,,,844267000.0,
,,,,845469000.0,
,,,,19604.5,
,,,,19642.1,
,,,,20204.2,
,,,,19452.9,
,,,,19138.9,
,,,,19035.1,
,,,,19173.0,
,,,,18960.6,
,,,,19000.5,
,,,,19225.4,
,,,,19343.7,
,,,,19199.2,
,,,,387.933,
,,,,0.0200547,
,,,,19698.3,
,,,,19951.3,
,,,,20153.7,
,,,,47617.4,
,,,,47504.8,
,,,,50030.1,
,,,,54015.3,
,,,,51337.3,
,,,,47162.7,
,,,,47595.9,
,,,,46919.0,
,,,,47147.1,
,,,,46969.4,
,,,,48629.9,
,,,,47550.3,
,,,,2396.5,
,,,,0.0492803,
,,,,51605.1,
,,,,52810.2,
,,,,53774.2,
,,,,168407.0,
,,,,166156.0,
,,,,159153.0,
,,,,160546.0,
,,,,161579.0,
,,,,162453.0,
,,,,161309.0,
,,,,166447.0,
,,,,167509.0,
,,,,163977.0,
,,,,163754.0,
,,,,163215.0,
,,,,3208.9,
,,,,0.0195959,
,,,,167599.0,
,,,,168003.0,
,,,,168326.0,
,,,,421631.0,
,,,,419382.0,
,,,,422183.0,
,,,,416637.0,
,,,,420208.0,
,,,,414999.0,
,,,,414708.0,
,,,,410426.0,
,,,,412856.0,
,,,,417411.0,
,,,,417044.0,
,,,,417024.0,
,,,,3861.59,
,,,,0.00925944,
,,,,421686.0,
,,,,421935.0,
,,,,422133.0,
,,,,1035020.0,
,,,,1012440.0,
,,,,1029090.0,
,,,,1024040.0,
,,,,1066550.0,
,,,,1096470.0,
,,,,1078480.0,
,,,,1080410.0,
,,,,1064990.0,
,,,,1065230.0,
,,,,1055270.0,
,,,,1065110.0,
,,,,28076.2,
,,,,0.0266056,
,,,,1082020.0,
,,,,1089250.0,
,,,,1095030.0,
,,,,2566470.0,
,,,,2598620.0,
,,,,2593390.0,
,,,,2652870.0,
,,,,2585700.0,
,,,,2599000.0,
,,,,2620540.0,
,,,,2623780.0,
,,,,2599390.0,
,,,,2640510.0,
,,,,2608030.0,
,,,,2599200.0,
,,,,26151.3,
,,,,0.0100272,
,,,,2641750.0,
,,,,2647310.0,
,,,,2651760.0,
,,,,6304100.0,
,,,,6414780.0,
,,,,6357890.0,
,,,,6380420.0,
,,,,6465260.0,
,,,,6381510.0,
,,,,6244170.0,
,,,,6281930.0,
,,,,6316060.0,
,,,,6225940.0,
,,,,6337210.0,
,,,,6336980.0,
,,,,76238.0,
,,,,0.0120302,
,,,,6419830.0,
,,,,6442550.0,
,,,,6460720.0,
,,,,15196000.0,
,,,,15263900.0,
,,,,14660900.0,
,,,,14552800.0,
,,,,14495400.0,
,,,,14371400.0,
,,,,14281800.0,
,,,,14225500.0,
,,,,14283800.0,
,,,,14160700.0,
,,,,14549200.0,
,,,,14433400.0,
,,,,390686.0,
,,,,0.0268527,
,,,,15202800.0,
,,,,15233300.0,
,,,,15257800.0,
,,,,33730300.0,
,,,,33366900.0,
,,,,34678500.0,
,,,,34194200.0,
,,,,34561500.0,
,,,,34666600.0,
,,,,34311500.0,
,,,,34596200.0,
,,,,33727200.0,
,,,,34422000.0,
,,,,34225500.0,
,,,,34366700.0,
,,,,462837.0,
,,,,0.0135232,
,,,,34667800.0,
,,,,34673200.0,
,,,,34677500.0,
,,,,78875100.0,
,,,,79722000.0,
,,,,79643100.0,
,,,,79788300.0,
,,,,80539400.0,
,,,,80495700.0,
,,,,80736700.0,
,,,,79421100.0,
,,,,79813000.0,
,,,,79397000.0,
,,,,79843200.0,
,,,,79755200.0,
,,,,585186.0,
,,,,0.00732919,
,,,,80559200.0,
,,,,80648000.0,
,,,,80719000.0,
,,,,188002000.0,
,,,,187088000.0,
,,,,190611000.0,
,,,,190432000.0,
,,,,205295000.0,
,,,,201971000.0,
,,,,200475000.0,
,,,,203349000.0,
,,,,199047000.0,
,,,,203217000.0,
,,,,196949000.0,
,,,,199761000.0,
,,,,7085880.0,
,,,,0.0359782,
,,,,203544000.0,
,,,,204420000.0,
,,,,205120000.0,
,,,,502083000.0,
,,,,488956000.0,
,,,,518763000.0,
,,,,491647000.0,
,,,,499444000.0,
,,,,535185000.0,
,,,,529729000.0,
,,,,532547000.0,
,,,,501722000.0,
,,,,510323000.0,
,,,,511040000.0,
,,,,506203000.0,
,,,,17062900.0,
,,,,0.0333886,
,,,,532811000.0,
,,,,533998000.0,
,,,,534948000.0,
,,,,1215460000.0,
,,,,1155100000.0,
,,,,1186500000.0,
,,,,1190340000.0,
,,,,1162520000.0,
,,,,1202160000.0,
,,,,1114940000.0,
,,,,1064420000.0,
,,,,1136860000.0,
,,,,1138950000.0,
,,,,1156730000.0,
,,,,1158810000.0,
,,,,45391900.0,
,,,,0.0392417,
,,,,1203490000.0,
,,,,1209480000.0,
,,,,1214260000.0,
,,,,23657.6,
,,,,23430.4,
,,,,23405.1,
,,,,23300.7,
,,,,23432.5,
,,,,23445.2,
,,,,23430.4,
,,,,130.343,
,,,,0.00555947,
,,,,23567.6,
,,,,23612.6,
,,,,23648.6,
,,,,108047.0,
,,,,113074.0,
,,,,120700.0,
,,,,121622.0,
,,,,107847.0,
,,,,114258.0,
,,,,113074.0,
,,,,6648.41,
,,,,0.0581877,
,,,,121253.0,
,,,,121437.0,
,,,,121585.0,
,,,,489143.0,
,,,,492763.0,
,,,,541611.0,
,,,,535090.0,
,,,,485727.0,
,,,,508867.0,
,,,,492763.0,
,,,,27127.6,
,,,,0.0533098,
,,,,539003.0,
,,,,540307.0,
,,,,541350.0,
,,,,1792330.0,
,,,,1802230.0,
,,,,1797370.0,
,,,,1795640.0,
,,,,1767920.0,
,,,,1791100.0,
,,,,1795640.0,
,,,,13442.6,
,,,,0.00750525,
,,,,1800290.0,
,,,,1801260.0,
,,,,1802040.0,
,,,,11026700.0,
,,,,11100800.0,
,,,,11053300.0,
,,,,11201500.0,
,,,,11583800.0,
,,,,11193200.0,
,,,,11100800.0,
,,,,228287.0,
,,,,0.0203951,
,,,,11430900.0,
,,,,11507300.0,
,,,,11568500.0,
,,,,32319500.0,
,,,,32012000.0,
,,,,32679100.0,
,,,,33774500.0,
,,,,34407500.0,
,,,,33038500.0,
,,,,32679100.0,
,,,,1014350.0,
,,,,0.030702,
,,,,34154300.0,
,,,,34280900.0,
,,,,34382200.0,
