beap,heap
27368,12760
27445,12779
27474,12807
27522,12826
27550,12845
27684,12864
27761,12883
27933,12902
27981,12931
28029,12950
28057,12979
28162,12998
28210,13027
28315,13046
28344,13075
28392,13094
28421,13113
28497,13132
28526,13161
28555,13189
28612,13208
28708,13227
28765,13256
28832,13275
28918,13294
28975,13313
29022,13342
29061,13370
29156,13399
29242,13418
29309,13447
29414,13466
29462,13485
29490,13523
29566,13542
29604,13570
29662,13589
29700,13608
29844,13637
29958,13656
30101,13675
30254,13694
30283,13714
30350,13733
30417,13752
30474,13771
30599,13790
30675,13809
30723,13828
30742,13857
30771,13876
30828,13895
30885,13914
30914,13952
30972,13971
31019,14000
31105,14019
31143,14048
31258,14067
31344,14086
31401,14105
31478,14133
31535,14152
31593,14171
31650,14190
31775,14209
31823,14228
31937,14257
31957,14286
31985,14305
32071,14334
32118,14353
32195,14372
32329,14391
32367,14419
32453,14438
32539,14457
32596,14476
32653,14505
32682,14524
32787,14552
32883,14572
32969,14591
33046,14610
33075,14639
33151,14658
33189,14677
33218,14696
33246,14715
33293,14744
33360,14763
33446,14782
33551,14801
33580,14840
33675,14859
33742,14878
33837,14897
33923,14916
33980,14944
34114,14963
34162,14991
34248,15010
34287,15039
34315,15067
34420,15086
34468,15105
34496,15134
34563,15163
34611,15182
34669,15211
34745,15230
34821,15249
34869,15268
34917,15287
34984,15306
35118,15325
35214,15345
35262,15373
35329,15393
35396,15412
35424,15431
35490,15460
35585,15479
35623,15498
35689,15517
35765,15536
35861,15555
35928,15574
36014,15593
36081,15621
36110,15650
36129,15688
36186,15717
36292,15736
36378,15755
36521,15784
36646,15803
36684,15822
36761,15850
36799,15878
36876,15897
36981,15925
37105,15944
37162,15973
37229,15992
37277,16021
37363,16040
37507,16059
37545,16078
37574,16106
37622,16125
37651,16163
37765,16182
37851,16201
37908,16229
38013,16248
38052,16267
38071,16286
38109,16305
38147,16334
38175,16353
38223,16382
38252,16401
38300,16421
38376,16449
38423,16478
38529,16506
38558,16534
38606,16563
38634,16582
38767,16601
38815,16620
38882,16648
38949,16667
38969,16686
39026,16705
39074,16734
39141,16753
39247,16782
39314,16801
39352,16830
39486,16859
39553,16888
39591,16917
39649,16936
39677,16955
39705,16994
39772,17013
39867,17032
39896,17061
39934,17090
39972,17109
40001,17138
40077,17157
40154,17185
40221,17204
40288,17223
40346,17242
40403,17261
40451,17290
40528,17309
40623,17328
40681,17347
40719,17366
40757,17395
40823,17415
40918,17443
40956,17463
41032,17492
41099,17511
41128,17530
41176,17559
41338,17578
41424,17607
41462,17626
41557,17645
41652,17664
41710,17692
41834,17711
41872,17740
41920,17759
41997,17778
42055,17797
42074,17816
42112,17835
42294,17854
42332,17883
42390,17902
42419,17931
42438,17979
42514,17998
42553,18017
42648,18036
42706,18065
42744,18094
42792,18123
42821,18142
42850,18171
42878,18209
42917,18238
42974,18257
43060,18276
43127,18295
43233,18314
43271,18342
43338,18370
43434,18389
43462,18417
43491,18456
43567,18475
43606,18504
43720,18523
43816,18542
43873,18561
43911,18581
43949,18609
43978,18629
44083,18648
44208,18667
44294,18686
44322,18715
44379,18734
44455,18753
44512,18772
44531,18800
44617,18819
44684,18848
44780,18867
44809,18886
44914,18906
44971,18925
45095,18944
45210,18973
45238,19012
45267,19050
45286,19069
45363,19088
45401,19107
45440,19126
45468,19155
45496,19183
45554,19211
45582,19230
45678,19249
45745,19268
45812,19297
45869,19316
46003,19345
46089,19364
46233,19393
46328,19412
46386,19431
46481,19460
46529,19480
46577,19508
46692,19528
46721,19556
46750,19585
46788,19613
46826,19633
46874,19652
47027,19681
47141,19700
47179,19729
47236,19748
47255,19796
47388,19815
47408,19873
47484,19892
47608,19911
47674,19931
47712,19950
47741,19979
47798,19998
47865,20017
47903,20036
47989,20055
48017,20093
48074,20112
48113,20131
48141,20160
48180,20189
48237,20208
48266,20227
48343,20256
48390,20275
48523,20294
48609,20323
48656,20342
48790,20361
48934,20380
49020,20408
49058,20436
49087,20455
49135,20474
49269,20493
49431,20512
49508,20532
49671,20551
49786,20570
49815,20599
49892,20628
49978,20647
50016,20676
50112,20695
50141,20724
50189,20752
50313,20771
50351,20809
50380,20838
50399,20867
50466,20886
50513,20905
50589,20924
50666,20943
50695,20971
50781,20990
50829,21009
50868,21037
50906,21056
50935,21075
50973,21094
51021,21113
51097,21133
51135,21152
51221,21171
51307,21190
51384,21210
51441,21238
51546,21258
51718,21277
51766,21296
51823,21325
51881,21344
52025,21372
52073,21391
52197,21410
52235,21438
52369,21457
52398,21476
52455,21495
52503,21524
52541,21553
52598,21582
52665,21601
52779,21620
52808,21658
52885,21687
52980,21706
53057,21725
53153,21744
53267,21763
53314,21782
53381,21820
53496,21848
53573,21867
53592,21905
53630,21934
53745,21962
53774,21991
53803,22019
53831,22047
53926,22066
53964,22085
53992,22113
54069,22132
54126,22151
54155,22170
54174,22199
54213,22228
54356,22247
54470,22276
54547,22295
54614,22314
54643,22333
54815,22353
54920,22381
55082,22410
55159,22429
55293,22448
55360,22477
55493,22506
55579,22525
55607,22564
55684,22593
55751,22612
55808,22631
55913,22651
55941,22679
55979,22699
56141,22718
56170,22737
56275,22756
56303,22785
56342,22804
56495,22833
56533,22852
56610,22872
56696,22891
56801,22910
56859,22929
56926,22948
56993,22967
57069,22986
57136,23005
57165,23034
57194,23053
57232,23082
57271,23101
57328,23120
57376,23149
57443,23168
57539,23188
57606,23207
57625,23236
57711,23255
57730,23293
57807,23312
